Year,Debuting teams,Debuting teams,Debuting teams
Year,Teams,No.,Cum.
1957,"Egypt  ,  Ethiopia  ,  Sudan",3,3
1962,"Tunisia  ,  Uganda",2,5
1963,"Ghana  ,  Nigeria",2,7
1965,"Congo-L̩opoldville  ,  Ivory Coast  ,  Senegal",3,10
1968,"Algeria  ,  Congo-Brazzaville",2,12
1970,"Cameroon  ,  Guinea",2,14
1972,"Kenya  ,  Mali  ,  Morocco  ,  Togo",4,18
1974,"Mauritius  ,  Zambia",2,20
1978,Upper Volta,1,21
1980,Tanzania,1,22
1982,Libya,1,23
1984,Malawi,1,24
1986,Mozambique,1,25
1994,"Gabon  ,  Sierra Leone",2,27
1996,"Angola  ,  Liberia  ,  South Africa",3,30
1998,Namibia,1,31
2004,"Benin  ,  Rwanda  ,  Zimbabwe",3,34
2012,"Botswana  ,  Equatorial Guinea  ,  Niger",3,37
2013,Cape Verde,1,38
2017,Guinea-Bissau,1,39
2019,"Burundi  ,  Madagascar  ,  Mauritania",3,42
2021,"Comoros  ,  Gambia",2,44
2023,None,0,44
